pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
HD 164922 c,HD 164922,1,4,2016,Multiple Observatories,75.74,0.341,3.66,13.0,0.12,400,G9 V,5390.0,0.95,0.93,0.18,[Fe/H],4.46,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,7.01227,5.113,6.78614,HD 164922,0.16,0.09,-0.23,0.19,0.23,0.08,0.17,0.26,c,75.74,0.12,0.34,0.04,0.0,0.0,O|N|H2O|S,13.924385335890042|55.69754134356017|29.603243224102226|0.2748300964475481,CH4|NH4|NH3|SO2,6422.932434520957
HD 164922 d,HD 164922,1,4,2020,Roque de los Muchachos Observatory,12.458,0.103,1.83,4.0,0.12,,G9 V,5390.0,0.95,0.93,0.18,[Fe/H],4.46,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,7.01227,5.113,6.78614,HD 164922,0.16,0.09,-0.23,0.19,0.23,0.08,0.17,0.26,d,12.46,0.12,0.1,0.01,0.0,0.0,None,None,None,11686.700939268518
HD 164922 e,HD 164922,1,4,2021,Multiple Observatories,41.763,0.2292,3.23,10.52012,0.086,,G9 V,5393.43,1.0,0.92,0.197,[Fe/H],4.4,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,7.01227,5.113,6.78614,HD 164922,0.16,0.09,-0.23,0.19,0.23,0.08,0.17,0.26,e,41.76,0.09,0.23,0.03,0.0,0.0,O|N|H2O|S,13.924385335890042|55.69754134356017|29.603243224102226|0.2748300964475481,NH4|SO2,8051.05067652261
HD 165131 b,HD 165131,1,1,2023,Multiple Facilities,2342.6,3.54,12.1,5943.39121,0.6708,,G3/5 V,5870.0,1.06,1.06,0.06,[Fe/H],4.39,18h05m22.66s,271.3444007,-21d40m25.33s,-21.6737039,57.4263,8.42,6.927,8.26134,HD 165131,0.08,0.14,0.12,0.09,0.14,0.14,0.07,0.08,b,2343.0,0.67,3.59,19.0,0.0,93.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2223.1733586170626
HD 165155 b,HD 165155,1,1,2016,Multiple Observatories,434.5,1.13,13.2,918.5287,0.2,,G8 V,5426.0,0.95,1.02,0.09,[Fe/H],4.49,18h05m57.44s,271.4893395,-29d55m02.11s,-29.9172536,63.3574,9.36,7.584,9.21413,HD 165155,0.25,0.35,0.0,0.28,0.28,0.28,0.14,0.23,b,434.5,0.2,1.13,2.89,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3542.698830901156
HD 1666 b,HD 1666,1,1,2015,Multiple Observatories,270.0,0.94,12.7,2040.0,0.63,,F7 V,6317.0,1.93,1.5,0.37,[Fe/H],4.06,00h20m52.33s,5.2180424,-19d55m53.34s,-19.9314823,117.908,8.17,6.964,8.05121,HD   1666,0.36,0.38,0.0,0.37,0.22,0.17,0.32,0.35,b,270.0,0.63,0.94,6.43,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6290.064117128044
HD 166724 b,HD 166724,1,1,2012,La Silla Observatory,5144.0,5.42,13.0,1207.74795,0.734,,K0 IV-V,5127.0,0.8,0.81,-0.09,[Fe/H],4.43,18h13m59.73s,273.4988604,-42d34m32.60s,-42.5757218,45.1342,9.33,7.246,9.06863,HD 166724,-0.05,-0.18,0.1,0.02,0.01,0.04,-0.06,0.08,b,4750.0,0.73,5.17,3.8,0.0,68.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,1353.3229366566725
HD 167042 b,HD 167042,1,1,2007,Lick Observatory,417.67,1.22,13.6,444.00628,0.01,,K1 IV,4919.0,4.63,1.39,-0.01,[Fe/H],3.23,18h10m31.83s,272.6326268,+54d17m15.43s,54.2876184,49.6633,5.98796,3.55,5.72384,HD 167042,0.07,0.04,0.27,0.01,0.12,-0.1,0.12,0.11,b,418.17,0.09,1.3,1.59,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,6862.337528757613
HD 167677 b,HD 167677,1,1,2023,Multiple Facilities,1820.0,2.877,13.2,905.81096,0.182,,G5 V,5474.0,0.95,0.96,-0.29,[Fe/H],4.43,18h16m49.63s,274.2067844,-11d24m24.43s,-11.4067857,54.3258,8.9,7.155,8.7114,HD 167677,-0.28,0.06,0.02,-0.14,-0.03,-0.03,-0.1,-0.12,b,1804.0,0.35,2.9,3.7,0.0,155.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2241.2808855921553
HD 167768 b,HD 167768,1,1,2022,Okayama Astrophysical Observatory,20.6532,0.1512,13.9,270.15415,0.149,,G8 III,4851.0,9.7,1.08,-0.67,[Fe/H],2.5,18h16m53.12s,274.2213308,-03d00m30.89s,-3.0085807,107.214,5.98894,3.895,5.7545,HD 167768,-0.57,-0.29,-0.17,-0.39,-0.25,-0.59,-0.3,-0.4,b,20.65,0.15,0.15,0.85,0.0,0.0,O|N|H2O|S|CO2,12.535245386490734|50.14098154596294|26.649931691679296|0.6814297608329701|9.492411615034058,CH4|NH4|NH3|SO2,27714.70260182864
