id,ex,ey,ez,ed,emag
2515,204.1710877,14.23519323,135.3401161,245.3679295,8.477088991
2516,31.50608773,12.86819323,45.70311612,56.98244277,7.203705315
2526,96.54908773,13.38619323,353.3491161,366.5467424,8.617646821
2536,138.9020877,13.72419323,-16.55388388,140.5566595,5.269257135
2546,34.26908773,12.89219323,49.59611612,61.64700929,7.582560061
2596,770.3400877,18.88319323,283.7461161,821.1530212,8.499120475
2613,351.3060877,15.49519323,159.0921161,385.9616169,8.854720585
2661,225.7990877,14.50319323,51.14111612,231.9719474,8.198177342
2671,119.5040877,13.61719323,-94.89688388,153.2059839,7.220378641
2685,217.0800877,14.45019323,37.52711612,220.7733159,8.956732903
2687,108.8200877,13.53619323,-99.82188388,148.2883965,7.969535844
2717,133.5090877,13.75619323,-22.89288388,136.1543003,4.521156813
2737,118.4390877,13.63519323,245.3991161,272.8267989,7.223435137
2751,192.0940877,14.27919323,358.8871161,407.3131425,8.573642117
2774,178.1120877,14.16819323,-25.18288388,180.4406582,8.619672013
2777,143.3320877,13.86619323,-115.5438839,184.6259673,7.237463918
2849,71.06908773,13.24519323,-12.67388388,73.39535208,7.230342791
2855,172.6460877,14.15419323,-446.6248839,479.0415428,8.733865887
2860,612.9200877,18.09319323,394.3021161,729.0216433,8.982702109
2877,48.65608773,13.04919323,21.74911612,54.87003161,8.994676052
2894,138.3220877,13.86419323,216.9081161,257.6321926,7.946000648
2944,243.7990877,14.85519323,183.2341161,305.3414699,8.58092896
2954,324.1840877,15.61019323,302.2321161,443.4898566,7.752418456
2958,1057.553088,22.40719323,-284.6728839,1095.426523,7.11891626
3023,18.07708773,12.77919323,-4.049883883,22.50534247,7.135428131
3072,230.2920877,14.81619323,234.4971161,329.0028309,8.438998174
3087,197.9650877,14.51219323,320.3071161,376.8254614,8.835701198
3094,190.2760877,14.44119323,206.7901161,281.3817509,7.824479639
3097,171.3910877,14.26019323,224.8501161,283.0827313,8.978566886
3103,195.7260877,14.49719323,175.1781161,263.0707935,8.852363174
3174,558.5260877,18.13119323,394.2061161,683.8703041,8.934868728
3178,105.7890877,13.65319323,-60.09788388,122.4315989,8.187467606
3184,165.4000877,14.24619323,231.7861161,285.1051502,8.278025313
3189,67.66508773,13.27719323,-23.99388388,73.01064594,7.250930954
3194,391.2810877,16.50319323,-71.62088388,398.1240962,8.520092319
3217,196.9550877,14.57619323,328.5351161,383.3263551,6.744843398
3248,265.9970877,15.30119323,328.6981161,423.1205842,8.535320768
3262,141.0490877,14.03819323,-85.97988388,165.7843673,5.198717881
3303,40.41508773,13.01719323,-3.137883883,42.57549707,8.981798635
3306,83.27008773,13.45919323,4.894116117,84.49266101,8.72009494
3310,229.6160877,14.96719323,145.2041161,272.0878534,8.050545772
3370,129.5180877,13.95819323,9.683116117,130.6274433,6.447172134
3384,109.4330877,13.75119323,1.752116117,110.3075968,8.793027115
3385,96.32308773,13.61319323,201.9541161,224.1627116,7.692816857
3395,93.18308773,13.58419323,6.768116117,94.41093973,8.905111602
3442,14.75908773,12.75719323,135.4281161,136.8259891,7.743842981
3461,305.5570877,15.90319323,34.43111612,307.9018467,8.205061468
3482,44.38508773,13.08019323,-4.047883883,46.44903477,6.161883468
3493,83.78608773,13.51219323,73.72311612,112.4179065,7.606177468
3502,675.9020877,19.99419323,841.0911161,1079.202328,8.944514368
3529,339.3420877,16.34119323,291.0071161,447.3312293,8.967146092
3533,265.6630877,15.53019323,61.28111612,273.0813767,8.981460418
3548,219.3200877,15.02719323,52.25511612,225.9595419,7.289153428
3568,94.54608773,13.65019323,19.93411612,97.58411482,8.363895635
3579,262.8830877,15.53919323,349.5191161,437.6215224,8.604493363
3598,297.9830877,15.95019323,-289.8628839,416.0154092,8.594547086
3602,128.4530877,14.04219323,-20.59288388,130.8489427,8.696851089
3607,97.54408773,13.69519323,21.21711612,100.7599791,8.678440343
3611,84.32908773,13.54719323,102.8831161,133.7155827,8.372910107
3620,106.9640877,13.80819323,215.4491161,240.9363067,5.823511244
3663,106.9500877,13.82519323,215.4321161,240.9158647,7.153327
3705,156.3600877,14.41219323,177.7051161,237.1398251,7.679022476
3720,240.2410877,15.39719323,117.1491161,267.7251748,8.190446054
3745,50.16308773,13.18119323,338.6521161,342.6008391,7.237942112
3760,196.4530877,14.91119323,166.3751161,257.8698094,7.936002497
3764,286.0230877,15.97319323,59.56411612,292.5956827,8.358339569
3776,180.5650877,14.73219323,-283.0778839,336.0861151,8.501252853
3827,104.7000877,13.85019323,0.713116117,105.6146048,8.722619892
3838,155.8670877,14.47119323,97.67111612,184.5091092,7.534089061
3842,228.9040877,15.35519323,237.9971161,330.5684356,8.892306913
3850,32.35808773,12.98019323,137.0841161,141.4481748,7.629986739
3853,260.8400877,15.75019323,-229.9248839,348.0676259,8.927318155
