HIP,new_RA,new_DE,new_Distance,new_Vmag,new_BTmag,new_VTmag,new_Hpmag
95222,289.4793512,1.058548029,112.840146,5.838699881,7.250699881,5.967699881,6.006799881
112590,340.4221041,38.69766007,112.5836011,5.838915728,7.139915728,5.943915728,6.000815728
79672,242.3371166,1.857164621,16.47069284,5.83900699,6.64700699,5.91100699,5.97550699
114641,346.9921821,12.59240943,102.3791373,5.839388652,7.108388652,5.953388652,6.008388652
84248,256.8265193,-65.33412308,98.80933008,5.839642481,7.220642481,5.965642481,6.010942481
52478,163.2507733,57.55264669,115.3467199,5.839644345,5.789644345,5.833644345,5.839544345
91532,279.3349145,-6.806928071,163.0392837,5.839914539,7.868914539,6.021914539,5.961214539
30711,100.8757377,-22.67061867,27.11511554,5.839984543,6.487984543,5.906984543,5.964184543
113622,344.3389581,3.910912509,167.0142304,5.839998682,7.600998682,5.986998682,5.995098682
92027,280.8621521,6.124792183,219.4253472,5.840223129,5.858223129,5.796223129,5.849423129
85889,262.9603434,-40.51792604,301.2515761,5.840337057,5.891337057,5.852337057,5.863837057
12562,39.61031491,-12.25034895,46.21598227,5.840371175,6.340371175,5.886371175,5.934171175
3456,9.881499268,-37.98998212,111.0707124,5.840518317,7.341518317,5.972518317,6.012718317
40357,124.3316252,-45.5944758,274.5384045,5.840551537,5.592551537,5.794551537,5.773151537
61181,191.3634411,-71.58228142,102.8293289,5.840601865,7.263601865,5.965601865,6.010601865
100069,304.1380185,40.89684511,478.5406671,5.840690727,5.908690727,5.827690727,5.874390727
64179,198.1295578,11.1475863,110.4231586,5.840699499,7.154699499,5.956699499,6.006399499
58952,186.1311743,76.33365171,104.933519,5.840701565,7.168701565,5.965701565,6.013001565
46618,144.6364664,-13.70088954,75.60963516,5.840899171,7.390899171,5.965899171,5.999999171
20804,67.10216015,12.38804386,147.2821063,5.841123946,5.893123946,5.845123946,5.865723946
64390,203.0694378,-65.98354413,42.54377792,5.841437866,6.325437866,5.879437866,5.931437866
37915,117.421963,-37.54446273,191.2814618,5.841612918,5.702612918,5.816612918,5.810012918
90930,274.9665129,-72.59510329,107.2589709,5.841645498,7.122645498,5.952645498,6.010245498
11548,35.40865146,36.56148764,30.11184732,5.841767101,6.565767101,5.919767101,5.972867101
65536,202.3736889,72.14655734,312.7262087,5.841834011,7.971834011,6.022834011,5.941434011
7387,19.86446424,-58.95007578,37.09885579,5.842044908,6.286044908,5.877044908,5.928244908
113084,341.7216027,41.74428109,104.9029426,5.84206979,7.31206979,5.96406979,6.00466979
99663,301.8089257,60.77337044,184.8629794,5.842111463,7.778111463,6.007111463,5.971311463
75944,232.6890399,-15.55536393,174.8129491,5.842507189,7.188507189,5.946507189,5.998707189
39184,121.3098104,-53.97008565,211.900834,5.842592913,5.655592913,5.799592913,5.788992913
27253,88.65761379,4.886710031,40.38427773,5.842859512,6.786859512,5.909859512,5.973059512
29616,94.35529745,19.18353588,137.6125868,5.842967117,6.160967117,5.891967117,5.918267117
11867,37.84375052,-34.30190555,113.0165623,5.843146903,7.203146903,5.948146903,6.008646903
20781,68.4669139,-47.15014126,28.8272448,5.843178853,6.393178853,5.904178853,5.951478853
87472,267.6409976,-33.57657404,228.673851,5.84345308,7.27045308,5.96945308,6.01475308
84862,255.6092697,35.31953944,17.81898571,5.843713947,6.600713947,5.918713947,5.972613947
113048,339.500972,47.30897547,53.33686028,5.843904152,6.203904152,5.889904152,5.898204152
